Group	d15N	d13C
1	7.844	-26.052
1	8.263	-25.551
1	8.09	-26.224
1	8.202	-26.059
1	8.203	-26.131
1	8.057	-25.889
1	8.392	-25.777
1	8.28	-25.253
1	8.544	-25.381
1	8.465	-25.745
1	8.384	-25.499
1	8.299	-25.956
1	8.19	-25.072
1	8.306	-25.423
1	8.324	-25.628
1	7.833	-25.832
1	8.092	-25.883
1	8.157	-25.809
1	8.336	-25.962
1	8.201	-25.928
1	8.174	-25.805
1	8.442	-26.078
1	8.783	-25.489
