Group	d15N	d13C
1	8.292	-25.703
1	8.22	-25.56
1	8.528	-25.299
1	8.064	-25.824
1	8.109	-25.64
1	8.439	-25.627
1	8.358	-25.432
1	8.348	-25.889
1	8.668	-24.984
1	8.037	-25.738
1	8.303	-25.39
1	8.056	-25.354
1	8.286	-25.821
1	8.375	-25.473
1	8.187	-25.445
1	8.143	-25.404
1	8.252	-25.484
1	8.557	-27.284
1	8.065	-25.842
1	8.316	-25.519
1	7.966	-25.809
1	8.323	-25.545
1	8.253	-25.423
