Group	d15N	d13C
1	7.204	-27.681
1	7	-27.653
1	6.981	-27.787
1	7.273	-27.388
1	7.066	-27.619
1	7.3	-27.801
1	7.177	-27.577
1	7.103	-27.654
1	7.228	-27.602
1	6.986	-27.868
1	7.098	-27.808
1	7.122	-27.704
1	6.877	-27.718
1	7.338	-27.448
1	6.998	-27.754
2	6.532	-27.514
2	7.202	-27.436
2	6.685	-27.546
2	7.393	-27.441
2	7.125	-27.236
2	7.233	-27.536
2	7.14	-27.767
2	6.81	-27.601
2	7.345	-27.586
2	6.675	-27.413
3	7.636	-27.681
3	7.596	-27.346
3	7.566	-27.856
3	8.066	-26.88
3	7.95	-27.424
3	8.445	-27.221
3	7.506	-27.403
3	8.047	-27.529
3	7.647	-27.636
3	7.974	-27.461
3	7.438	-27.44
3	8.599	-26.785
3	7.863	-27.378
3	7.67	-27.497
3	7.558	-27.163
