Group	d15N	d13C
1	7.279	-28.122
1	7.279	-27.992
1	7.657	-28.136
1	8.23	-27.992
1	7.705	-27.997
1	7.821	-28.208
1	7.668	-28.003
1	8.24	-28.049
1	7.905	-28.109
1	7.821	-27.933
1	7.724	-27.721
1	8.038	-27.633
1	8.143	-27.858
1	7.835	-27.897
1	8.618	-27.814
1	7.846	-27.936
2	8.366	-27.891
2	8.055	-27.682
2	7.933	-27.819
2	8.138	-27.859
2	7.896	-27.929
2	8.104	-27.898
2	7.91	-27.876
2	7.962	-27.745
2	8.097	-27.755
2	8.314	-27.803
2	7.722	-27.819
2	7.907	-27.822
2	7.746	-27.779
2	7.6	-27.752
2	8.128	-27.802
2	8.055	-27.845
3	7.5	-27.728
3	7.744	-27.676
3	7.775	-27.745
3	9.149	-26.755
3	8.238	-27.212
3	7.589	-27.755
3	7.411	-27.814
3	7.616	-27.724
3	7.656	-27.686
3	7.623	-27.784
3	7.712	-27.776
3	7.682	-27.661
3	9.091	-26.76
3	9.275	-26.486
3	7.603	-27.806
3	7.702	-27.684
