Sample.num.2,Year.1,Year.2,Location,Spp,FG,Stage,ID.3,Island,Date.Sample,JulianDate.Sample,d15N,d13C
40,2009/2010,3,PAL,GEPE,Penguin,CK POP,PAL POP9,BIS,2/2/10,2010033,7.8,-26.3
41,2009/2010,3,PAL,GEPE,Penguin,CK POP,PAL POP10,BIS,2/2/10,2010033,7.5,-26.1
42,2009/2010,3,PAL,GEPE,Penguin,CK POP,PAL POP12,BIS,2/2/10,2010033,7.9,-26.1
43,2009/2010,3,PAL,GEPE,Penguin,CK POP,PAL POP13,BIS,2/2/10,2010033,7.8,-26.3
44,2009/2010,3,PAL,GEPE,Penguin,CK POP,PAL POP14,BIS,2/2/10,2010033,8.1,-26
45,2009/2010,3,PAL,GEPE,Penguin,CK POP,PAL POP15,BIS,2/2/10,2010033,8.3,-25.9
46,2009/2010,3,PAL,E. superba,Baseline,Zoo,48-10Lip53,500.1,1/11/10,2010011,4.3,-26.6
47,2009/2010,3,PAL,E. superba,Baseline,Zoo,49-10Lip11,600.1,1/6/10,2010006,4.6,-26
48,2009/2010,3,PAL,E. superba,Baseline,Zoo,50-10Lip17,600.1,1/6/10,2010006,4.4,-26
49,2009/2010,3,PAL,E. superba,Baseline,Zoo,56-10Lip9,600.04,1/6/10,2010006,3.6,-26.4
50,2009/2010,3,PAL,E. superba,Baseline,Zoo,106-10Lip42,500.2,1/7/10,2010007,3.4,-26.8
51,2009/2010,3,PAL,E. superba,Baseline,Zoo,108-10Lip46,500.2,1/7/10,2010007,3.6,-26.7
52,2009/2010,3,PAL,E. superba,Baseline,Zoo,114-10Lip16,600.1,1/6/10,2010006,4,-27.2
53,2009/2010,3,PAL,E. superba,Baseline,Zoo,115-10Lip41,500.2,1/7/10,2010007,3.6,-25.4
54,2009/2010,3,PAL,E. superba,Baseline,Zoo,117-10Lip46,500.2,1/7/10,2010007,5,-24.9
55,2009/2010,3,PAL,E. superba,Baseline,Zoo,118-10Lip40,500.2,1/7/10,2010007,3.2,-25.8
56,2009/2010,3,PAL,E. superba,Baseline,Zoo,Inv367,PALAP09015,1/26/10,2010026,4.2,-25.5
57,2009/2010,3,PAL,E. superba,Baseline,Zoo,Inv368,PALAP09015,1/26/10,2010026,3.3,-26.1
58,2009/2010,3,PAL,E. superba,Baseline,Zoo,Inv369,PALAP09015,1/26/10,2010026,5,-26.9
59,2009/2010,3,PAL,E. superba,Baseline,Zoo,Inv370,PALAP09015,1/26/10,2010026,4.7,-26.6
60,2009/2010,3,PAL,E. superba,Baseline,Zoo,Inv371,PALAP09015,1/26/10,2010026,5.1,-26.9
61,2009/2010,3,PAL,E. superba,Baseline,Zoo,Inv379,PALGP09103,1/25/10,2010025,4.1,-25.8
62,2009/2010,3,PAL,E. superba,Baseline,Zoo,Inv380,PALGP09103,1/25/10,2010025,4.5,-25.7
63,2009/2010,3,PAL,E. superba,Baseline,Zoo,Inv381,PALGP09103,1/25/10,2010025,5.1,-25.4
64,2009/2010,3,PAL,E. superba,Baseline,Zoo,Inv382,PALGP09103,1/25/10,2010025,4.5,-24.5
65,2009/2010,3,PAL,E. superba,Baseline,Zoo,Inv383,PALGP09103,1/25/10,2010025,5.3,-26.4
