Sample.num.2,Year.1,Year.2,Location,Spp,FG,Stage,ID.3,Island,Date.Sample,JulianDate.Sample,d15N,d13C
28,2008/2009,2,PAL,CHPE,Penguin,CK POP,PAL POP C12,DRE,1/31/09,2009031,7.9,-27.8
29,2008/2009,2,PAL,CHPE,Penguin,CK POP,PAL POP C13,DRE,1/31/09,2009031,7.8,-27.8
30,2008/2009,2,PAL,CHPE,Penguin,CK POP,PAL POP C14,DRE,1/31/09,2009031,7.6,-27.8
31,2008/2009,2,PAL,CHPE,Penguin,CK POP,PAL POP C15,DRE,1/31/09,2009031,8.1,-27.8
32,2008/2009,2,PAL,CHPE,Penguin,CK POP,PAL POP C16,DRE,1/31/09,2009031,8.1,-27.8
33,2008/2009,2,PAL,GEPE,Penguin,CK POP,PAL POP C1,BIS,1/17/09,2009017,7.5,-27.7
34,2008/2009,2,PAL,GEPE,Penguin,CK POP,PAL POP C2,BIS,1/17/09,2009017,7.7,-27.7
35,2008/2009,2,PAL,GEPE,Penguin,CK POP,PAL POP C3,BIS,1/17/09,2009017,7.8,-27.8
36,2008/2009,2,PAL,GEPE,Penguin,CK POP,PAL POP C4,BIS,1/17/09,2009017,9.2,-26.8
37,2008/2009,2,PAL,GEPE,Penguin,CK POP,PAL POP C5,BIS,1/17/09,2009017,8.2,-27.2
38,2008/2009,2,PAL,GEPE,Penguin,CK POP,PAL POP C6,BIS,1/17/09,2009017,7.6,-27.8
39,2008/2009,2,PAL,GEPE,Penguin,CK POP,PAL POP C7,BIS,1/17/09,2009017,7.4,-27.8
40,2008/2009,2,PAL,GEPE,Penguin,CK POP,PAL POP C8,BIS,1/17/09,2009017,7.6,-27.7
41,2008/2009,2,PAL,GEPE,Penguin,CK POP,PAL POP C9,BIS,1/17/09,2009017,7.7,-27.7
42,2008/2009,2,PAL,GEPE,Penguin,CK POP,PAL POP C10,BIS,1/17/09,2009017,7.6,-27.8
43,2008/2009,2,PAL,GEPE,Penguin,CK POP,PAL POP C11,BIS,1/17/09,2009017,7.7,-27.8
44,2008/2009,2,PAL,GEPE,Penguin,CK POP,PAL POP C12,BIS,1/17/09,2009017,7.7,-27.7
45,2008/2009,2,PAL,GEPE,Penguin,CK POP,PAL POP C13,BIS,1/17/09,2009017,9.1,-26.8
46,2008/2009,2,PAL,GEPE,Penguin,CK POP,PAL POP C14,BIS,1/17/09,2009017,9.3,-26.5
47,2008/2009,2,PAL,GEPE,Penguin,CK POP,PAL POP C15,BIS,1/17/09,2009017,7.6,-27.8
48,2008/2009,2,PAL,GEPE,Penguin,CK POP,PAL POP C16,BIS,1/17/09,2009017,7.7,-27.7
49,2008/2009,2,PAL,E. superba,Baseline,Zoo,Inv2,600.04,1/6/09,2009006,4.5,-26.3
50,2008/2009,2,PAL,E. superba,Baseline,Zoo,Inv6,600.04,1/6/09,2009006,4.7,-27.4
51,2008/2009,2,PAL,E. superba,Baseline,Zoo,Inv9,600.04,1/6/09,2009006,4.1,-26.5
52,2008/2009,2,PAL,E. superba,Baseline,Zoo,Inv1,600.04,1/6/09,2009006,4.6,-27.4
53,2008/2009,2,PAL,E. superba,Baseline,Zoo,Inv3,600.04,1/6/09,2009006,4.4,-26.9
54,2008/2009,2,PAL,E. superba,Baseline,Zoo,Inv31,600.18,1/7/09,2009007,4,-26.5
55,2008/2009,2,PAL,E. superba,Baseline,Zoo,Inv32,600.18,1/7/09,2009007,4.6,-26.1
56,2008/2009,2,PAL,E. superba,Baseline,Zoo,Inv33,600.18,1/7/09,2009007,4.3,-26.1
57,2008/2009,2,PAL,E. superba,Baseline,Zoo,Inv66,585.131,1/10/09,2009010,4.1,-27
58,2008/2009,2,PAL,E. superba,Baseline,Zoo,Inv67,585.131,1/10/09,2009010,3,-27
59,2008/2009,2,PAL,E. superba,Baseline,Zoo,Inv68,585.131,1/10/09,2009010,4.5,-27.4
60,2008/2009,2,PAL,E. superba,Baseline,Zoo,Inv384,PALAP08001,1/7/09,2009007,4.8,-27.2
61,2008/2009,2,PAL,E. superba,Baseline,Zoo,Inv385,PALAP08012,1/26/09,2009026,4.8,-27.2
62,2008/2009,2,PAL,E. superba,Baseline,Zoo,Inv386,PALAP08002,1/7/09,2009007,4.7,-27.4
63,2008/2009,2,PAL,E. superba,Baseline,Zoo,Inv387,PALAP08002,1/7/09,2009007,4.7,-27.5
64,2008/2009,2,PAL,E. superba,Baseline,Zoo,Inv388,PALAP08002,1/7/09,2009007,4.2,-26.9
