Sample.num.2,Year.1,Year.2,Location,Spp,FG,Stage,ID.3,Island,Date.Sample,JulianDate.Sample,d15N,d13C
1,2008/2009,2,PAL,ADPE,Penguin,CK POP,PAL POP C1,TOR,1/22/09,2009022,7.3,-28.1
2,2008/2009,2,PAL,ADPE,Penguin,CK POP,PAL POP C2,TOR,1/22/09,2009022,7.3,-28
3,2008/2009,2,PAL,ADPE,Penguin,CK POP,PAL POP C3,TOR,1/22/09,2009022,7.7,-28.1
4,2008/2009,2,PAL,ADPE,Penguin,CK POP,PAL POP C4,TOR,1/22/09,2009022,8.2,-28
5,2008/2009,2,PAL,ADPE,Penguin,CK POP,PAL POP C5,TOR,1/22/09,2009022,7.7,-28
6,2008/2009,2,PAL,ADPE,Penguin,CK POP,PAL POP C6,BIS,1/23/09,2009023,7.8,-28.2
7,2008/2009,2,PAL,ADPE,Penguin,CK POP,PAL POP C7,BIS,1/23/09,2009023,7.7,-28
8,2008/2009,2,PAL,ADPE,Penguin,CK POP,PAL POP C8,BIS,1/23/09,2009023,8.2,-28.1
9,2008/2009,2,PAL,ADPE,Penguin,CK POP,PAL POP C10,BIS,1/23/09,2009023,7.9,-28.1
10,2008/2009,2,PAL,ADPE,Penguin,CK POP,PAL POP C11,DRE,1/23/09,2009023,7.8,-27.9
11,2008/2009,2,PAL,ADPE,Penguin,CK POP,PAL POP C12,DRE,1/23/09,2009023,7.7,-27.7
12,2008/2009,2,PAL,ADPE,Penguin,CK POP,PAL POP C13,DRE,1/23/09,2009023,8,-27.6
13,2008/2009,2,PAL,ADPE,Penguin,CK POP,PAL POP C14,DRE,1/23/09,2009023,8.1,-27.9
14,2008/2009,2,PAL,ADPE,Penguin,CK POP,PAL POP C15,DRE,1/23/09,2009023,7.8,-27.9
15,2008/2009,2,PAL,ADPE,Penguin,CK POP,PAL POP C16,DRE,1/23/09,2009023,8.6,-27.8
16,2008/2009,2,PAL,ADPE,Penguin,CK POP,PAL POP C17,TOR,1/23/09,2009023,7.9,-27.9
17,2008/2009,2,PAL,CHPE,Penguin,CK POP,PAL POP C1,DRE,1/30/09,2009030,8.4,-27.9
18,2008/2009,2,PAL,CHPE,Penguin,CK POP,PAL POP C2,DRE,1/30/09,2009030,8.1,-27.7
19,2008/2009,2,PAL,CHPE,Penguin,CK POP,PAL POP C3,DRE,1/30/09,2009030,7.9,-27.8
20,2008/2009,2,PAL,CHPE,Penguin,CK POP,PAL POP C4,DRE,1/30/09,2009030,8.1,-27.9
21,2008/2009,2,PAL,CHPE,Penguin,CK POP,PAL POP C5,DRE,1/30/09,2009030,7.9,-27.9
22,2008/2009,2,PAL,CHPE,Penguin,CK POP,PAL POP C6,DRE,1/30/09,2009030,8.1,-27.9
23,2008/2009,2,PAL,CHPE,Penguin,CK POP,PAL POP C7,DRE,1/30/09,2009030,7.9,-27.9
24,2008/2009,2,PAL,CHPE,Penguin,CK POP,PAL POP C8,DRE,1/31/09,2009031,8,-27.8
25,2008/2009,2,PAL,CHPE,Penguin,CK POP,PAL POP C9,DRE,1/31/09,2009031,8.1,-27.8
26,2008/2009,2,PAL,CHPE,Penguin,CK POP,PAL POP C10,DRE,1/31/09,2009031,8.3,-27.8
27,2008/2009,2,PAL,CHPE,Penguin,CK POP,PAL POP C11,DRE,1/31/09,2009031,7.7,-27.8
