Sample.Num.Overall,Year.1,Year.2,Location,Spp,FG,Stage,ID.3,Island,Date.Sample,JulianDate.Sample,d15N,d13C
1,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP1,AVI,1/22/10,2010022,7.8,-26.1
2,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP2,AVI,1/22/10,2010022,8.3,-25.6
3,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP3,AVI,1/22/10,2010022,8.1,-26.2
4,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP4,AVI,1/22/10,2010022,8.2,-26.1
5,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP5,AVI,1/22/10,2010022,8.2,-26.1
6,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP6,AVI,1/22/10,2010022,8.1,-25.9
7,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP7,AVI,1/22/10,2010022,8.4,-25.8
8,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP8,AVI,1/22/10,2010022,8.3,-25.3
9,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP9,AVI,1/22/10,2010022,8.5,-25.4
10,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP10,AVI,1/22/10,2010022,8.5,-25.8
11,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP11,AVI,1/22/10,2010022,8.4,-25.5
12,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP12,AVI,1/22/10,2010022,8.3,-26
13,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP13,AVI,1/22/10,2010022,8.2,-25.1
14,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP14,AVI,1/22/10,2010022,8.3,-25.4
15,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP15,AVI,1/22/10,2010022,8.3,-25.6
16,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP16,AVI,1/22/10,2010022,7.8,-25.8
17,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP17,AVI,1/22/10,2010022,8.1,-25.9
18,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP18,AVI,1/22/10,2010022,8.2,-25.8
19,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP19,AVI,1/22/10,2010022,8.3,-26
20,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP20,AVI,1/22/10,2010022,8.2,-25.9
21,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP21,AVI,1/22/10,2010022,8.2,-25.8
22,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP22,AVI,1/22/10,2010022,8.4,-26.1
23,2009/2010,3,AVI,ADPE,Penguin,CK POP,AVI POP23,AVI,1/22/10,2010022,8.8,-25.5
24,2009/2010,3,AVI,E. superba,Baseline,Zoo,20-10Lip156,100.04,1/16/10,2010016,4.9,-26.0
25,2009/2010,3,AVI,E. superba,Baseline,Zoo,23-10Lip155,100.04,1/16/10,2010016,4.7,-25.2
26,2009/2010,3,AVI,E. superba,Baseline,Zoo,36-10Lip160,100.04,1/16/10,2010016,4.8,-26.6
27,2009/2010,3,AVI,E. superba,Baseline,Zoo,41-10Lip152,100.04,1/16/10,2010016,4.6,-24.5
28,2009/2010,3,AVI,E. superba,Baseline,Zoo,Inv359,AVIAP020,1/21/10,2010021,5.1,-26.4
29,2009/2010,3,AVI,E. superba,Baseline,Zoo,Inv360,AVIAP020,1/21/10,2010021,4.7,-26.7
30,2009/2010,3,AVI,E. superba,Baseline,Zoo,Inv361,AVIAP020,1/21/10,2010021,5.2,-26.4
31,2009/2010,3,AVI,E. superba,Baseline,Zoo,Inv362,AVIAP020,1/21/10,2010021,5.3,-24.7
