Sample.Num.Overall,Year.1,Year.2,Location,Spp,FG,Stage,ID.3,Island,Date.Sample,JulianDate.Sample,d15N,d13C
1,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 1,AVI,1/29/08,2008029,8.3,-26.2
2,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 2,AVI,1/29/08,2008029,8,-26.4
3,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 3,AVI,1/29/08,2008029,8.5,-25.6
4,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 4,AVI,1/29/08,2008029,8.6,-26.1
5,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 5,AVI,1/29/08,2008029,8.5,-25.7
6,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 6,AVI,1/29/08,2008029,8.8,-25.9
7,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 7,AVI,1/29/08,2008029,8.2,-25.8
8,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 8,AVI,1/29/08,2008029,8.8,-25.9
9,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 9,AVI,1/29/08,2008029,8.7,-25.6
10,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 10,AVI,1/29/08,2008029,9,-26
11,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 11,AVI,1/29/08,2008029,8.6,-26.3
12,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 12,AVI,1/29/08,2008029,8.9,-25.6
13,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 13,AVI,1/29/08,2008029,9,-25.7
14,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 14,AVI,1/29/08,2008029,8.8,-26.1
15,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 15,AVI,1/29/08,2008029,8.5,-26.4
16,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 16,AVI,1/29/08,2008029,8.6,-26.4
17,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 17,AVI,1/29/08,2008029,8.5,-26.2
18,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 18,AVI,1/29/08,2008029,8.5,-26.4
19,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 19,AVI,1/29/08,2008029,8.4,-26.5
20,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 20,AVI,1/29/08,2008029,8.6,-26.1
21,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 21,AVI,1/29/08,2008029,8.1,-26.1
22,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 22,AVI,1/29/08,2008029,8.5,-25.6
23,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 23,AVI,1/29/08,2008029,8.5,-26.3
24,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 24,AVI,1/29/08,2008029,8.7,-25.5
25,2007/2008,1,AVI,ADPE,Penguin,CK POP,AVI POP 25,AVI,1/29/08,2008029,8.6,-25.4
26,2007/2008,1,AVI,E. superba,Baseline,Zoo,Inv401,Diet,1/26/08,2008026,5.0,-26.1
27,2007/2008,1,AVI,E. superba,Baseline,Zoo,Inv402,Diet,1/26/08,2008026,4.8,-27.1
28,2007/2008,1,AVI,E. superba,Baseline,Zoo,Inv403,Diet,1/26/08,2008026,4.0,-26.7
29,2007/2008,1,AVI,E. superba,Baseline,Zoo,Inv404,Diet,1/26/08,2008026,3.9,-27.4
30,2007/2008,1,AVI,E. superba,Baseline,Zoo,Inv405,Diet,1/26/08,2008026,5.4,-24.7
