Group	d15N	d13C
1	8.285	-26.216
1	7.956	-26.432
1	8.448	-25.572
1	8.575	-26.063
1	8.448	-25.735
1	8.823	-25.88
1	8.216	-25.78
1	8.771	-25.847
1	8.664	-25.614
1	8.952	-26.026
1	8.566	-26.272
1	8.86	-25.602
1	8.999	-25.654
1	8.819	-26.063
1	8.484	-26.39
1	8.599	-26.348
1	8.487	-26.173
1	8.445	-26.374
1	8.426	-26.503
1	8.545	-26.092
1	8.056	-26.099
1	8.522	-25.609
1	8.451	-26.251
1	8.689	-25.541
1	8.553	-25.396
